dataset,family,series,sample,elements,size_bucket,bins,shape,gib_per_s,speedup_vs_main,speedup_vs_noncooperative
c32,even,main,I32,67108864,middle,8,concentrated:0.5,643.8571636169222,1.0,
c32,even,main,I32,67108864,middle,8,concentrated:0.25,744.3738158838931,1.0,
c32,even,main,I32,67108864,middle,8,concentrated:0.0,776.2378122319371,1.0,
c32,even,main,I32,67108864,middle,8,powerlaw:0.75,617.9592976225848,1.0,
c32,even,main,I32,67108864,middle,8,powerlaw:0.25,620.7255074213579,1.0,
c32,even,main,I32,67108864,middle,8,hash_synonym,670.2653164360075,1.0,
c32,even,main,I32,67108864,middle,8,stale_resident:0.5,618.2634773348299,1.0,
c32,even,main,I32,67108864,middle,8,stale_resident:0.25,618.3290498481904,1.0,
c32,even,main,I32,67108864,middle,8,temporal_phases:0.10,776.4447564836232,1.0,
c32,even,main,I32,67108864,middle,8,strided_sweep,806.9030384424356,1.0,
c32,even,main,I32,67108864,middle,8,sawtooth,806.8869414732457,1.0,
c32,even,main,I32,67108864,middle,8,poison,776.0958289137656,1.0,
c32,even,main,I32,67108864,middle,8,sawtooth:8192:2654435761:1,803.9031126992837,1.0,
c32,even,main,I32,67108864,middle,16,concentrated:1.0,621.3644278143754,1.0,
c32,even,main,I32,67108864,middle,16,concentrated:0.75,624.0904782659151,1.0,
c32,even,main,I32,67108864,middle,16,concentrated:0.5,671.68579732193,1.0,
c32,even,main,I32,67108864,middle,16,concentrated:0.25,744.9381832260573,1.0,
c32,even,main,I32,67108864,middle,16,concentrated:0.0,776.3836138222196,1.0,
c32,even,main,I32,67108864,middle,16,powerlaw:0.75,651.3941472095588,1.0,
c32,even,main,I32,67108864,middle,16,powerlaw:0.25,739.072543623122,1.0,
c32,even,main,I32,67108864,middle,16,hash_synonym,699.4886986860299,1.0,
c32,even,main,I32,67108864,middle,16,stale_resident:0.5,620.6210454756034,1.0,
c32,even,main,I32,67108864,middle,16,stale_resident:0.25,620.6437259984343,1.0,
c32,even,main,I32,67108864,middle,16,temporal_phases:0.10,776.3076946033025,1.0,
c32,even,main,I32,67108864,middle,16,strided_sweep,760.1775920711925,1.0,
c32,even,main,I32,67108864,middle,16,sawtooth,765.2017511490209,1.0,
c32,even,main,I32,67108864,middle,16,poison,776.230558898003,1.0,
c32,even,main,I32,67108864,middle,16,sawtooth:8192:2654435761:1,754.0841750587339,1.0,
c32,even,main,I32,67108864,middle,32,concentrated:1.0,636.1404854153097,1.0,
c32,even,main,I32,67108864,middle,32,concentrated:0.75,638.8184298207229,1.0,
c32,even,main,I32,67108864,middle,32,concentrated:0.5,691.1524806530767,1.0,
c32,even,main,I32,67108864,middle,32,concentrated:0.25,743.2292429801561,1.0,
c32,even,main,I32,67108864,middle,32,concentrated:0.0,776.3384866909186,1.0,
c32,even,main,I32,67108864,middle,32,powerlaw:0.75,651.3256544196797,1.0,
c32,even,main,I32,67108864,middle,32,powerlaw:0.25,733.5018877012154,1.0,
c32,even,main,I32,67108864,middle,32,hash_synonym,721.8024657283779,1.0,
c32,even,main,I32,67108864,middle,32,stale_resident:0.5,635.7852066981609,1.0,
c32,even,main,I32,67108864,middle,32,stale_resident:0.25,635.8734797552409,1.0,
c32,even,main,I32,67108864,middle,32,temporal_phases:0.10,777.1794305170266,1.0,
c32,even,main,I32,67108864,middle,32,strided_sweep,735.1725059030339,1.0,
c32,even,main,I32,67108864,middle,32,sawtooth,735.889637323183,1.0,
c32,even,main,I32,67108864,middle,32,poison,776.449939421242,1.0,
c32,even,main,I32,67108864,middle,32,sawtooth:8192:2654435761:1,736.6470198480599,1.0,
c32,even,main,I32,67108864,middle,64,concentrated:1.0,665.7430868524792,1.0,
c32,even,main,I32,67108864,middle,64,concentrated:0.75,661.8176374634553,1.0,
c32,even,main,I32,67108864,middle,64,concentrated:0.5,701.2813033007934,1.0,
c32,even,main,I32,67108864,middle,64,concentrated:0.25,736.1508950027676,1.0,
c32,even,main,I32,67108864,middle,64,concentrated:0.0,776.4111149289283,1.0,
c32,even,main,I32,67108864,middle,64,powerlaw:0.75,716.3823284120764,1.0,
c32,even,main,I32,67108864,middle,64,powerlaw:0.25,745.2324273707484,1.0,
c32,even,main,I32,67108864,middle,64,hash_synonym,733.1394048467482,1.0,
c32,even,main,I32,67108864,middle,64,stale_resident:0.5,664.608304366631,1.0,
c32,even,main,I32,67108864,middle,64,stale_resident:0.25,664.3100374031476,1.0,
c32,even,main,I32,67108864,middle,64,temporal_phases:0.10,776.2347887310185,1.0,
c32,even,main,I32,67108864,middle,64,strided_sweep,734.9794347780289,1.0,
c32,even,main,I32,67108864,middle,64,sawtooth,735.8770630592434,1.0,
c32,even,main,I32,67108864,middle,64,poison,776.1185069329786,1.0,
c32,even,main,I32,67108864,middle,64,sawtooth:8192:2654435761:1,736.4096398318851,1.0,
c32,even,main,I32,67108864,middle,128,concentrated:1.0,697.9666276189059,1.0,
c32,even,main,I32,67108864,middle,128,concentrated:0.75,692.7600562717728,1.0,
c32,even,main,I32,67108864,middle,128,concentrated:0.5,718.7727808327572,1.0,
c32,even,main,I32,67108864,middle,128,concentrated:0.25,738.6603336097734,1.0,
c32,even,main,I32,67108864,middle,128,concentrated:0.0,776.146171058909,1.0,
c32,even,main,I32,67108864,middle,128,powerlaw:0.75,717.5560191444825,1.0,
c32,even,main,I32,67108864,middle,128,powerlaw:0.25,744.7228408750474,1.0,
